Year,All US Abortions and Occurences,US Interstate Abortions, US Resident Abortions Occurring Abroad, Non-US Resident Abortions Occurring in US, Federally Funded Abortions, State Funded Abortions, Abortions Performed by Planned Parenthood Affiliates
1968,6211,-1,185,-1,-1,-1,-1
1969,27512,-1,1594,-1,-1,-1,-1
1970,193491,-1,1601,-1,-1,-1,-1
1971,485816,-1,188,-1,-1,-1,-1
1972,586760,257000,131,-1,-1,-1,-1
1973,744610,187600,104,-1,-1,-1,-1
1974,898570,120400,64,-1,-1,-1,-1
1975,1034170,111700,55,-1,-1,-1,-1
1976,1179300,117900,105,-1,-1,-1,-1
1977,1316700,131700,58,-1,-1,105550,58660
1978,1409600,150800,70,-1,1335,98709,66136
1979,1497670,149800,64,8210,3675,99412,72112
1980,1553890,115000,69,8720,33625,103097,77880
1981,1577340,118300,91,11110,17495,98513,79997
1982,1573920,111700,103,8890,783,91265,92916
1983,1575000,105500,101, ,856,84644,85242
1984,1577180,126200,118,10560,893,79705,88824
1985,1588550,120700,112,9750,865,76929,91065
1986,1574000,119600,87, ,232,79988,98638
1987,1559110,129400,100,9800,91,85580,104411
1988,1590750,136800,100,10040,135,83588,111189
1989,1566870,141000,69, ,120,87616,122191
1990,1608620,131900,68, ,71,97271,129155
1991,1556510,129200,49,7330,92,110532,132314
1992,1528930,120800,36,8120,168,111656,130844
1993,1495000,128600,42,2283,223,114042,134277
1994,1423000,121000,52,2401,282,204178,133289
1995,1359440,115600,29,1860,205,95974,139899
1996,1365700,113400,22,8690,236,101341,153367
1997,1335000,109500,19,3452,285,102323,165174
1998,1319000,113400,17,3744,127,98161,168509
1999,1314800,115700,19,5840,116,87663,182792
2000,1312990,114200,29,6310,112,139966,197070
2001,1291000,112300,35,4414,128,168657,213026
2002,1269000,111700,21,1525,148,136944,230630
2003,1250000,106300,20,1341,154,142879,244628
2004,1222100,96500,18,1210,167,140791,255015
2005,1206200,100100,26,1096,156,142211,264943
2006,1242200,104300,20,2739,204,166526,289750
2007,1209640,103300,15,1285,462,126848,305310
2008,1212350,100600,13,1123,431,128742,324008
2009,1151600,92100,10,956,222,134861,332278
2010,1102700,76700,11,843,331,187951,329445
2011,1058500,-1,14,823,-1,16481,333964
2012,1020000,-1,7,498,-1,8431,327166
2013,1000000,-1,-1,47,-1,-1,327000
